arm,runs_completed,runs_queued,article_variants,ranked_variants,median_lift_max_per_run,median_delta_per_invocation,pct_impr,pct_impr_ge40,pct_var_above_seed,p_best,p_top40,delta_vs_generate,ci_low,ci_high,holm_p,significant,decisive_pct,pct_below_seed,budget_per_run_usd,total_budget_usd,total_spent_usd
reflect_and_generate,10,10,352,244,165.5,61.2,100,90,94,96,99,34.2,-6,78,0.228,no,45.6,6,0.10,1.00,0.980
generate,10,10,474,317,131.3,31.3,100,90,64,4,69,,,,,,53.5,36,0.10,1.00,0.969
iterative_editing_rewrite,10,10,171,168,81.7,3.9,100,90,63,0,0,-49.6,-86,-5,1.000,no,5.0,38,0.10,1.00,0.978
criteria_and_generate,10,10,348,235,77.4,19.0,100,80,81,0,0,-53.9,-83,-9,1.000,no,4.8,19,0.10,1.00,0.954
single_pass_evaluate_criteria_and_generate,10,10,344,241,73.5,19.2,100,70,76,0,0,-57.8,-93,-14,1.000,no,4.0,24,0.10,1.00,0.964
iterative_editing,10,10,118,117,54.9,18.8,100,80,78,0,0,-76.4,-94,-27,1.000,no,26.1,22,0.10,1.00,0.991
proposer_approver_criteria_generate,10,10,263,200,41.6,3.2,100,70,57,0,0,-89.7,-103,-42,1.000,no,1.0,43,0.10,1.00,0.986
paragraph_recombine_with_coherence_pass,10,10,43,43,6.9,-5.6,60,20,44,0,0,-124.4,-139,-82,1.000,no,5.8,64,0.10,1.00,0.866
paragraph_recombine,6,10,7,7,2.9,19.3,50,20,71,0,0,-128.4,-141,-78,1.000,no,44.2,38,0.10,1.00,0.586
