tier,slice,agent_name,n_attempts,n_improvers,success_pct,avg_delta,median_delta,avg_delta_up,avg_delta_down,max_delta,cost_per_invocation,total_cost,cost_per_improver
top_10pct,ALL,ALL,227,23,10.1,-81.9,-85.4,19.3,-93.3,119.5,0.00277,0.6287,0.0273
top_5pct,ALL,ALL,133,11,8.3,-95.1,-92.4,11.1,-104.7,41.9,0.00267,0.3549,0.0323
top_10pct,agent,expansion_elaborate,1,1,100.0,0.7,,,,0.7,0.00152,0.0015,0.0015
top_10pct,agent,zoom_lens,2,1,50.0,-56.0,,,,119.5,0.00146,0.0029,0.0029
top_10pct,agent,engagement_amplify,9,4,44.4,-46.6,,,,41.9,0.00231,0.0208,0.0052
top_10pct,agent,iterative_editing,14,4,28.6,-58.6,,,,14.7,0.00253,0.0354,0.0088
top_10pct,agent,debate_synthesis,7,2,28.6,-66.1,,,,1.7,0.00179,0.0126,0.0063
top_10pct,agent,paragraph_recombine,24,3,12.5,-63.1,,,,43.6,0.01006,0.2416,0.0805
top_10pct,agent,grounding_enhance,8,1,12.5,-68.8,,,,2.1,0.00228,0.0182,0.0182
top_10pct,agent,iterative_editing_rewrite,18,2,11.1,-75.4,,,,30.7,0.00149,0.0268,0.0134
top_10pct,agent,criteria_driven_single_pass,22,2,9.1,-57.8,,,,4.2,0.00263,0.0578,0.0289
top_10pct,agent,criteria_driven,51,3,5.9,-70.3,,,,58.3,0.00180,0.0916,0.0305
top_10pct,agent,structural_transform,20,0,0.0,-129.5,,,,-27.8,0.00150,0.0300,
top_10pct,agent,lexical_simplify,18,0,0.0,-178.6,,,,-59.5,0.00133,0.0239,
top_10pct,agent,analogy_bridge,7,0,0.0,-37.6,,,,-3.5,0.00257,0.0180,
top_10pct,agent,historical_context,5,0,0.0,-64.3,,,,-32.2,0.00220,0.0110,
top_10pct,agent,expert_deepdive,4,0,0.0,-60.6,,,,-40.5,0.00166,0.0066,
top_10pct,agent,first_principles,4,0,0.0,-153.3,,,,-94.2,0.00186,0.0074,
top_10pct,agent,contrast_frame,2,0,0.0,-107.0,,,,-57.3,0.00156,0.0031,
top_10pct,agent,sensory_concretize,2,0,0.0,-130.5,,,,-94.6,0.00150,0.0030,
top_10pct,agent,tone_transform,2,0,0.0,-83.2,,,,-54.1,0.00148,0.0030,
top_10pct,agent,criteria_driven_propose_approve,2,0,0.0,-42.7,,,,-5.3,0.00299,0.0060,
top_10pct,agent,coherence_thread,1,0,0.0,-72.7,,,,-72.7,0.00149,0.0015,
top_10pct,agent,pedagogy_scaffold,2,0,0.0,-144.7,,,,-115.3,0.00157,0.0031,
top_10pct,agent,progressive_disclosure,1,0,0.0,-108.3,,,,-108.3,0.00145,0.0014,
top_10pct,agent,practitioner_orient,1,0,0.0,-45.9,,,,-45.9,0.00147,0.0015,
top_5pct,agent,engagement_amplify,4,2,50.0,-46.0,,,,41.9,0.00187,0.0075,0.0037
top_5pct,agent,iterative_editing,14,4,28.6,-58.6,,,,14.7,0.00253,0.0354,0.0088
top_5pct,agent,criteria_driven_single_pass,16,2,12.5,-65.7,,,,4.2,0.00265,0.0423,0.0212
top_5pct,agent,iterative_editing_rewrite,18,2,11.1,-75.4,,,,30.7,0.00149,0.0268,0.0134
top_5pct,agent,paragraph_recombine,14,1,7.1,-67.7,,,,4.5,0.00940,0.1316,0.1316
top_5pct,agent,structural_transform,15,0,0.0,-133.4,,,,-27.8,0.00149,0.0224,
top_5pct,agent,lexical_simplify,14,0,0.0,-177.9,,,,-59.5,0.00131,0.0183,
top_5pct,agent,criteria_driven,25,0,0.0,-101.5,,,,-2.3,0.00182,0.0456,
top_5pct,agent,debate_synthesis,2,0,0.0,-92.6,,,,-91.2,0.00198,0.0040,
top_5pct,agent,grounding_enhance,2,0,0.0,-62.4,,,,-34.9,0.00182,0.0036,
top_5pct,agent,analogy_bridge,4,0,0.0,-32.7,,,,-3.5,0.00251,0.0101,
top_5pct,agent,first_principles,1,0,0.0,-252.3,,,,-252.3,0.00138,0.0014,
top_5pct,agent,historical_context,1,0,0.0,-105.3,,,,-105.3,0.00164,0.0016,
top_5pct,agent,zoom_lens,1,0,0.0,-231.5,,,,-231.5,0.00144,0.0014,
top_5pct,agent,coherence_thread,1,0,0.0,-72.7,,,,-72.7,0.00149,0.0015,
top_5pct,agent,contrast_frame,1,0,0.0,-156.6,,,,-156.6,0.00150,0.0015,
